id;earthquake;M0 (seismic moment, Nm);a (radius, m);?? (stress drop, Pa);Er (radiated energy, J);tau i (Pa);type of energy;value (J/m^2);type of slip;value (m);Reference M0, a;Reference Er;Reference slip, G';Collection;Note;Type of seismic event
;Tohoku ’11;3.9E+22;132000;7500000;4.2E+17;16000000;G';59000000;slip;18;Lay et al. 2011 EPS;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Mentawai ’10;6.7E+20;80000;600000;1.4E+15;15000000;G';200000;slip;0.8;Lay et al. 2011 GRL;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Maule ’10;1.8E+22;166000;1800000;2.1E+17;15000000;G';2200000;slip;5.3;Lin et al. 2013;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Pagai Is. ’07;7.8E+20;57000;1800000;8.9E+15;15000000;G';200000;slip;1.2;Konca et al. 2008;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Benkulu ’07;5E+21;105000;1900000;4.4E+16;15000000;G';900000;slip;2.2;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru ’07;1.1E+21;76000;1100000;1.7E+16;14000000;G';-100000;slip;1.5;Lay et al. 2010;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Miyagi ’05;7.4E+19;51000;200000;5.5E+14;16000000;G';0;slip;0.1;Kanamori et al. 2006;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Nias-Sim. ’05;1.1E+22;120000;2800000;8.2E+16;15000000;G';6500000;slip;6;Konca et al. 2007;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Sumatra ’04;6.5E+22;236000;2200000;3E+16;15000000;G';9900000;slip;9.3;Rhie et al. 2007;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Tokachi ’03;3.1E+21;80000;2600000;1.9E+16;16000000;G';2000000;slip;2.3;Honda et al. 2004;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru ’01;4.7E+21;101000;2000000;4E+16;14000000;G';2400000;slip;3.6;Lay et al. 2010;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru Nov’96;3.5E+20;36000;3300000;1E+16;14000000;G';1100000;slip;2.2;Swenson & Beck 1999;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Aleutian ’96;8.8E+20;34000;9900000;1.1E+16;11000000;G';27300000;slip;6.1;Tanioka & Gonzalez 1998;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru Feb’96;2.2E+20;37000;1800000;5.5E+14;14000000;G';1000000;slip;1.2;Ihmle et al. 1998;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Chile ’95;1.8E+21;60000;3600000;2.60E+16;2.30E+07;G';4800000;slip;3.90E+00;Carlo et al. 1999;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Sanriku ’94;4.4E+20;36000;4200000;5.1E+15;16000000;G';4600000;slip;2.8;Sato et al. 1996;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Chile ’85 (MS);3.5E+20;25000;9700000;3.7E+15;15000000;G';11000000;slip;2.7;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;2;4.2E+18;12000;1000000;1.9E+13;-;G';0;slip;0.1;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;4;7.8E+18;14000;1300000;4.7E+13;-;G';100000;slip;0.3;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;5;1.3E+19;24000;400000;5.2E+13;-;G';0;slip;0.2;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;6;3.8E+18;12000;1000000;3.5E+13;-;G';0;slip;0.2;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;7;1.7E+18;12000;400000;1.4E+13;-;G';0;slip;0.1;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;8;8.3E+19;26000;2100000;6.5E+14;-;G';200000;slip;0.6;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Fukuoka '05;1.2E+19;11000;3500000;6.5E+14;0;G';10700000;slip;1;Asano and Iwata 2006;Yoo et al. 2010;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Parkfield '04;1.1E+18;8300;800000;1.1E+13;0;G';400000;slip;0.2;Custodio et al., 2009;Ma et al., 2008;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Denali '02;7.6E+20;38000;6000000;3.3E+16;9500000;G';41400000;slip;5.6;Asano et al., 2005;Choy and Boatwright, 2004;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Tottori '00;1.3E+19;12000;3300000;1.5E+15;-1800000;G';7400000;slip;1;Tinti et al., 2005 JGR;Choy and Boatwright, 2009;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Hector Mine '99;6.3E+19;13000;13000000;2.7E+15;20000000;G';81200000;slip;4;Ji et al., 2002;"Venkataraman et al., 2002; Boatwright et al., 2002";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (0033);4.4E+17;3500;4700000;3.8E+13;-100000;G';960000;slip;0.4;Hernandez et al., 2004;Pino et al., 1999;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (0940);1E+18;4700;4400000;2.8E+13;700000;G';2420000;slip;0.5;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (Oct);6.5E+17;3800;5200000;6.3E+13;-200000;G';2560000;slip;0.5;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Kobe '95;2.3E+19;18000;1700000;1.1E+15;-500000;G';3940000;slip;0.7;Wald 1996;Abercrombie and Rice, 2005;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Northridge '94;1.3E+19;9800;6000000;6E+14;2400000;G';13100000;slip;1.4;Wald et al., 1996;"Abercrombie and Rice, 2005; Kanamori et al., 1993; McGarr and Fletcher, 2000";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Landers '92;7.7E+19;16000;8100000;5.8E+15;5600000;G';51000000;slip;3.2;Wald and Heaton, 1994;"Abercrombie and Rice, 2005; Kanamori, et al., 1993";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Morgan Hill '84;2.7E+18;7600;4100000;1.3E+14;300000;G';4440000;slip;0.7;Hartzell and Heaton, 1986;Bolt, 1986;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Imperial Valley '79;6.7E+18;10000;2700000;2.1E+14;300000;G';2460000;slip;7;Archuleta, 1984;"Abercrombie and Rice, 2005; Smith et al., 1991";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Tohoku ’11;3.9E+22;132000;7500000;4.2E+17;16000000;Gmax;207000000;slip;18;Lay et al. 2011 EPS;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Mentawai ’10;6.7E+20;80000;600000;1.4E+15;15000000;Gmax;12000000;slip;0.8;Lay et al. 2011 GRL;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Maule ’10;1.8E+22;166000;1800000;2.1E+17;15000000;Gmax;73000000;slip;5.3;Lin et al. 2013;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Pagai Is. ’07;7.8E+20;57000;1800000;8.9E+15;15000000;Gmax;16000000;slip;1.2;Konca et al. 2008;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Benkulu ’07;5E+21;105000;1900000;4.4E+16;15000000;Gmax;31000000;slip;2.2;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru ’07;1.1E+21;76000;1100000;1.7E+16;14000000;Gmax;20000000;slip;1.5;Lay et al. 2010;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Miyagi ’05;7.4E+19;51000;200000;5.5E+14;16000000;Gmax;2000000;slip;0.1;Kanamori et al. 2006;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Nias-Sim. ’05;1.1E+22;120000;2800000;8.2E+16;15000000;Gmax;82000000;slip;6;Konca et al. 2007;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Sumatra ’04;6.5E+22;236000;2200000;3E+16;15000000;Gmax;131000000;slip;9.3;Rhie et al. 2007;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Tokachi ’03;3.1E+21;80000;2600000;1.9E+16;16000000;Gmax;32000000;slip;2.3;Honda et al. 2004;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru ’01;4.7E+21;101000;2000000;4E+16;14000000;Gmax;47000000;slip;3.6;Lay et al. 2010;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru Nov’96;3.5E+20;36000;3300000;1E+16;14000000;Gmax;25000000;slip;2.2;Swenson & Beck 1999;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Aleutian ’96;8.8E+20;34000;9900000;1.1E+16;11000000;Gmax;34000000;slip;6.1;Tanioka & Gonzalez 1998;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Peru Feb’96;2.2E+20;37000;1800000;5.5E+14;14000000;Gmax;16000000;slip;1.2;Ihmle et al. 1998;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Chile ’95;1.8E+21;60000;3600000;2.6E+16;23000000;Gmax;83000000;slip;3.90E+00;Carlo et al. 1999;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Sanriku ’94;4.4E+20;36000;4200000;5.1E+15;16000000;Gmax;36000000;slip;2.8;Sato et al. 1996;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Chile ’85 (MS);3.5E+20;25000;9700000;3.7E+15;15000000;Gmax;26000000;slip;2.7;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;2;4.2E+18;12000;1000000;1.9E+13;-;Gmax;1900000;slip;0.1;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;4;7.8E+18;14000;1300000;4.7E+13;-;Gmax;4600000;slip;0.3;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;5;1.3E+19;24000;400000;5.2E+13;-;Gmax;2700000;slip;0.2;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;6;3.8E+18;12000;1000000;3.5E+13;-;Gmax;3000000;slip;0.2;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;7;1.7E+18;12000;400000;1.4E+13;-;Gmax;1400000;slip;0.1;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;8;8.3E+19;26000;2100000;6.5E+14;-;Gmax;8100000;slip;0.6;Choy & Dewey 1988;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s3;natural
;Fukuoka '05;1.2E+19;11000;3500000;6.5E+14;0;Gmax;15000000;slip;1;Asano and Iwata 2006;Yoo et al. 2010;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Parkfield '04;1.1E+18;8300;800000;1.1E+13;0;Gmax;3200000;slip;0.2;Custodio et al., 2009;Ma et al., 2008;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Denali '02;7.6E+20;38000;6000000;3.3E+16;9500000;Gmax;12000000;slip;5.6;Asano et al., 2005;Choy and Boatwright, 2004;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Tottori '00;1.3E+19;12000;3300000;1.5E+15;-1800000;Gmax;13000000;slip;1;Tinti et al., 2005 JGR;Choy and Boatwright, 2009;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Hector Mine '99;6.3E+19;13000;13000000;2.7E+15;20000000;Gmax;28000000;slip;4;Ji et al., 2002;"Venkataraman et al., 2002; Boatwright et al., 2002";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (0033);4.4E+17;3500;4700000;3.8E+13;-100000;Gmax;7400000;slip;0.4;Hernandez et al., 2004;Pino et al., 1999;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (0940);1E+18;4700;4400000;2.8E+13;700000;Gmax;7800000;slip;0.5;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Colfiorito '97 (Oct);6.5E+17;3800;5200000;6.3E+13;-200000;Gmax;11000000;slip;0.5;-;;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Kobe '95;2.3E+19;18000;1700000;1.1E+15;-500000;Gmax;7600000;slip;0.7;Wald 1996;Abercrombie and Rice, 2005;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Northridge '94;1.3E+19;9800;6000000;6E+14;2400000;Gmax;13000000;slip;1.4;Wald et al., 1996;"Abercrombie and Rice, 2005; Kanamori et al., 1993; McGarr and Fletcher, 2000";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Landers '92;7.7E+19;16000;8100000;5.8E+15;5600000;Gmax;22000000;slip;3.2;Wald and Heaton, 1994;"Abercrombie and Rice, 2005; Kanamori, et al., 1993";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Morgan Hill '84;2.7E+18;7600;4100000;1.3E+14;300000;Gmax;10000000;slip;0.7;Hartzell and Heaton, 1986;Bolt, 1986;Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Imperial Valley '79;6.7E+18;10000;2700000;2.1E+14;300000;Gmax;6000000;slip;7;Archuleta, 1984;"Abercrombie and Rice, 2005; Smith et al., 1991";Viesca & Garagash, 2015;Viesca & Garagash, 2015;tab s4;natural
;Northridge and Long Valley;7.7E+14;504;2600000;20000000000;;G';16749.85905;slip;0.032163071;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;8.7E+14;540;2490000;23000000000;;G';14305.35427;slip;0.031656259;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1E+15;636;1680000;64000000000;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1E+15;612;1970000;8500000000;;G';20679.87326;slip;0.028328594;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.4E+15;492;4980000;32000000000;;G';110721.2545;slip;0.061365699;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.4E+15;696;1850000;12000000000;;G';20479.57731;slip;0.030664608;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.4E+15;720;1620000;18000000000;;G';12157.64083;slip;0.028654372;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.7E+15;804;1450000;22000000000;;G';9397.043787;slip;0.027903885;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.7E+15;660;2550000;22000000000;;G';36719.54632;slip;0.041408444;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;2E+15;636;3470000;23000000000;;G';72921.97486;slip;0.052461852;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;2.2E+15;516;7060000;43000000000;;G';258068.6761;slip;0.087670026;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;2.4E+15;864;1620000;26000000000;;G';16544.48879;slip;0.034112348;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;2.5E+15;792;2200000;1E+11;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;2.6E+15;792;2310000;46000000000;;G';27453.39215;slip;0.043979556;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;3.2E+15;780;2900000;1.1E+11;;G';23369.17872;slip;0.055806994;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;3.4E+15;1020;1390000;2E+11;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;4E+15;708;4980000;1.2E+11;;G';134622.7498;slip;0.084668396;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;4.6E+15;648;7410000;76000000000;;G';373037.4769;slip;0.116234667;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;4.8E+15;576;10900000;1.9E+11;;G';654317.4754;slip;0.153505566;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;5.6E+15;660;8330000;90000000000;;G';502357.4947;slip;0.136404285;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;6E+15;744;6250000;69000000000;;G';319726.0573;slip;0.115009373;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;7.5E+15;840;5610000;1.8E+11;;G';235145.4651;slip;0.1127796;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;7.9E+15;552;20100000;1.7E+11;;G';2587076.605;slip;0.27509126;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.6E+16;1596;1740000;5.2E+11;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.7E+16;696;21700000;4.4E+11;;G';3750938.624;slip;0.372355951;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;2.5E+16;1404;3990000;2.2E+12;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;3.5E+16;744;37700000;9.9E+11;;G';12076942.59;slip;0.67088801;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;4.1E+16;2544;10800000;1.2E+12;;G';303950.8575;slip;0.067216748;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.2E+17;2292;4400000;4.2E+12;;G';278726.1505;slip;0.242370566;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;2.17E+11;57.7;500000;1990000;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;3.65E+11;31.9;4930000;6380000;;G';7385.485693;slip;0.003805742;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;5.9E+11;36.5;5320000;9650000;;G';10193.37889;slip;0.004698878;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;4.28E+12;56.9;10200000;408000000;;G';31421.82095;slip;0.014026428;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;59900000000;28.6;1120000;675000;;G';172.4453409;slip;0.000777003;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;2.17E+12;72.4;2500000;39700000;;G';3079.801182;slip;0.004392487;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.12E+11;32.4;1430000;1120000;;G';469.7902032;slip;0.001132025;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.02E+11;13.5;18000000;4440000;;G';45689.80604;slip;0.005938278;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.31E+13;88.7;8220000;433000000;;G';55091.33665;slip;0.017666557;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;6.3E+11;33.7;7220000;15300000;;G';16959.6335;slip;0.005885842;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.45E+12;51.2;4730000;28700000;;G';10395.01767;slip;0.00586889;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.43E+11;29.6;2410000;1630000;;G';1494.556654;slip;0.001731731;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;1.95E+11;27.6;4070000;5320000;;G';3304.229074;slip;0.002716091;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Northridge and Long Valley;5.27E+11;33.4;6210000;16500000;;G';10855.45569;slip;0.005012398;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 4;natural
;Large earthquakes;8E+19;15000;14000000;1.5E+16;;G';5187260.089;slip;3.772552792;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;8E+19;15000;14000000;8.6E+15;;G';14241386.79;slip;3.772552792;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;2.5E+17;5600;46000000;2.8E+13;;G';1661243.502;slip;0.0845847;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;3.1E+15;350;35000000;1E+11;;G';4439005.039;slip;0.268505671;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;1.9E+18;5000;5600000;5.1E+14;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;1.3E+19;8500;9400000;9.8E+14;;G';4655317.092;slip;1.909120574;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;1.3E+19;8500;9400000;1.3E+15;;G';3245504.976;slip;1.909120574;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;1.3E+19;8500;9400000;1.2E+15;;G';3686071.262;slip;1.909120574;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;2.3E+19;13000;4700000;1.5E+15;;G';568184.9573;slip;1.444005969;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;3.1E+19;14000;4800000;2.7E+15;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;6.7E+18;11000;2500000;5.9E+14;;G';;slip;;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;6.3E+19;14000;10000000;3E+15;;G';12180196.75;slip;3.410455091;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;6.3E+19;14000;10000000;3E+15;;G';12180196.75;slip;3.410455091;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;6.3E+19;14000;10000000;3.4E+15;;G';11530586.26;slip;3.410455091;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;1E+16;500;35000000;1.9E+11;;G';7185298.362;slip;0.424412189;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;7.1E+15;600;14400000;2.6E+11;;G';1276773.336;slip;0.209258788;Abercrombie and Rice, 2005;Abercrombie and Rice, 2005;Abercrombie & Rice, 2005;Nielsen et al., 2016a;tab 5;natural
