name;machine;experiment;material;sample;fluid;method;type of energy;value (J/m^2);min (J/m^2);max (J/m^2);type of slip;value (m);min (m);max (m);normal stress (MPa);conf stress (MPa);pore press (MPa);stress drop (MPa);T (°C);peak slip velocity (m/s);Reference;Collection;Notes;Group;;;
Case E1?;rotary;yoffe;;;;;E_F;489000;;;D_c;;;;1;;;;;0.65;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case E2;rotary;yoffe;;;;;E_F;456000;;;D_c;;;;1;;;;;0.65;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case F1;rotary;yoffe;;;;;E_F;434000;;;D_c;;;;1;;;;;0.325;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case G1;rotary;yoffe;;;;;E_F;173000;;;D_c;;;;1;;;;;1.3;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case H2;rotary;yoffe;;;;;E_F;23000;;;D_c;;;;1;;;;;0.325;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case J2;rotary;yoffe;;;;;E_F;17000;;;D_c;;;;1;;;;;0.65;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case K2;rotary;yoffe;;;;;E_F;1055000;;;D_c;;;;1;;;;;1.3;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
Case M2;rotary;yoffe;;;;;E_F;877000;;;D_c;;;;1;;;;;1.3;Fukuyama & Mizoguchi, 2010;;table 2;3;;;
s555;rotary;trapezoidal;microgabbro;saw-cut;rh;;Fracture energy;160000;;;slip;0.1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s567;rotary;trapezoidal;microgabbro;saw-cut;pf;;Fracture energy;160000;;;slip;0.1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s585;rotary;trapezoidal;microgabbro;saw-cut;vac;;Fracture energy;70000;;;slip;0.1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s307;rotary;trapezoidal;carrara;saw-cut;rh;;Fracture energy;170000;;;slip;0.1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s615;rotary;trapezoidal;carrara;saw-cut;pf;;Fracture energy;60000;;;slip;0.1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s614;rotary;trapezoidal;carrara;saw-cut;vac;;Fracture energy;19000;;;slip;0.1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s555;rotary;trapezoidal;microgabbro;saw-cut;rh;;Fracture energy;960000;;;slip;1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s567;rotary;trapezoidal;microgabbro;saw-cut;pf;;Fracture energy;1260000;;;slip;1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s585;rotary;trapezoidal;microgabbro;saw-cut;vac;;Fracture energy;1150000;;;slip;1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s307;rotary;trapezoidal;carrara;saw-cut;rh;;Fracture energy;730000;;;slip;1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s615;rotary;trapezoidal;carrara;saw-cut;pf;;Fracture energy;910000;;;slip;1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
s614;rotary;trapezoidal;carrara;saw-cut;vac;;Fracture energy;890000;;;slip;1;;;;;;;;;Violay et al., 2014a;;table DR2;3;;;
711;rotary;flywheel;granite;saw-cut;;;E_T;420000;;;critical distance;0.015;;;2;;;;;0.25;Chang et al., 2012;;table s3;3;;;
712;rotary;flywheel;granite;saw-cut;;;E_T;440000;;;critical distance;0.015;;;2;;;;;0.24;Chang et al., 2012;;table s3;3;;;
721;rotary;flywheel;granite;saw-cut;;;E_T;3.45;;;critical distance; ;;;2.3;;;;;0.02;Chang et al., 2012;;table s3;3;;;
722;rotary;flywheel;granite;saw-cut;;;E_T;133.4;;;critical distance;;;;2.3;;;;;0.02;Chang et al., 2012;;table s3;3;;;
723;rotary;flywheel;granite;saw-cut;;;E_T;920;;;critical distance; ;;;2.3;;;;;0.02;Chang et al., 2012;;table s3;3;;;
724;rotary;flywheel;granite;saw-cut;;;E_T;14490;;;critical distance; ;;;2.3;;;;;0.06;Chang et al., 2012;;table s3;3;;;
725;rotary;flywheel;granite;saw-cut;;;E_T;48300;;;critical distance; ;;;2.3;;;;;0.1;Chang et al., 2012;;table s3;3;;;
726;rotary;flywheel;granite;saw-cut;;;E_T;119600;;;critical distance; ;;;2.3;;;;;0.18;Chang et al., 2012;;table s3;3;;;
727;rotary;flywheel;granite;saw-cut;;;E_T;211600;;;critical distance;0.037;;;2.3;;;;;0.21;Chang et al., 2012;;table s3;3;;;
728;rotary;flywheel;granite;saw-cut;;;E_T;322000;;;critical distance;0.01;;;2.3;;;;;0.25;Chang et al., 2012;;table s3;3;;;
731;rotary;flywheel;granite;saw-cut;;;E_T;248400;;;critical distance;0.012;;;6.9;;;;;0.19;Chang et al., 2012;;table s3;3;;;
732;rotary;flywheel;granite;saw-cut;;;E_T;1242000;;;critical distance;0.022;;;6.9;;;;;0.42;Chang et al., 2012;;table s3;3;;;
733;rotary;flywheel;granite;saw-cut;;;E_T;2856000;;;critical distance;0.047;;;6.8;;;;;0.7;Chang et al., 2012;;table s3;3;;;
741;rotary;flywheel;granite;saw-cut;;;E_T;318200;;;critical distance; ;;;3.7;;;;;0.25;Chang et al., 2012;;table s3;3;;;
742;rotary;flywheel;granite;saw-cut;;;E_T;1332000;;;critical distance;0.034;;;3.7;;;;;0.51;Chang et al., 2012;;table s3;3;;;
743;rotary;flywheel;granite;saw-cut;;;E_T;740000;;;critical distance;0.026;;;3.7;;;;;0.39;Chang et al., 2012;;table s3;3;;;
744;rotary;flywheel;granite;saw-cut;;;E_T;518000;;;critical distance;0.021;;;3.7;;;;;0.33;Chang et al., 2012;;table s3;3;;;
752;rotary;flywheel;granite;saw-cut;;;E_T;161.5;;;critical distance; ;;;1.9;;;;;0.16;Chang et al., 2012;;table s3;3;;;
753;rotary;flywheel;granite;saw-cut;;;E_T;1026;;;critical distance; ;;;1.9;;;;;0.02;Chang et al., 2012;;table s3;3;;;
754;rotary;flywheel;granite;saw-cut;;;E_T;13490;;;critical distance; ;;;1.9;;;;;0.06;Chang et al., 2012;;table s3;3;;;
755;rotary;flywheel;granite;saw-cut;;;E_T;49400;;;critical distance; ;;;1.9;;;;;0.12;Chang et al., 2012;;table s3;3;;;
756;rotary;flywheel;granite;saw-cut;;;E_T;117800;;;critical distance;0.092;;;1.9;;;;;0.16;Chang et al., 2012;;table s3;3;;;
757;rotary;flywheel;granite;saw-cut;;;E_T;209000;;;critical distance;0.014;;;1.9;;;;;0.2;Chang et al., 2012;;table s3;3;;;
758;rotary;flywheel;granite;saw-cut;;;E_T;342000;;;critical distance;0.015;;;1.9;;;;;0.3;Chang et al., 2012;;table s3;3;;;
759;rotary;flywheel;granite;saw-cut;;;E_T;1368000;;;critical distance;0.017;;;1.9;;;;;0.55;Chang et al., 2012;;table s3;3;;;
771;rotary;flywheel;granite;saw-cut;;;E_T;54000;;;critical distance; ;;;1.8;;;;;0.07;Chang et al., 2012;;table s3;3;;;
772;rotary;flywheel;granite;saw-cut;;;E_T;342000;;;critical distance; ;;;1.8;;;;;0.19;Chang et al., 2012;;table s3;3;;;
757_a ;rotary;flywheel;granite;saw-cut;;;E_T;209000;;;critical distance;0.012;;;1.9;;;;;0.23;Chang et al., 2012;;table s3;3;;;
759_a ;rotary;flywheel;granite;saw-cut;;;E_T;3200000;;;critical distance;0.023;;;2;;;;;0.8;Chang et al., 2012;;table s3;3;;;
759_b ;rotary;flywheel;granite;saw-cut;;;E_T;1334000;;;critical distance;0.008;;;2.3;;;;;0.25;Chang et al., 2012;;table s3;3;;;
773_1 ;rotary;flywheel;granite;saw-cut;;;E_T;1368000;;;critical distance;0.065 0.052 ;;;1.8;;;;;0.39;Chang et al., 2012;;table s3;3;;;
773_2 ;rotary;flywheel;granite;saw-cut;;;E_T;1368000;;;critical distance;;;;1.8;;;;;0.39;Chang et al., 2012;;table s3;3;;;
774_1 ;rotary;flywheel;granite;saw-cut;;;E_T;1404000;;;critical distance;0.019;;;3.6;;;;;0.38;Chang et al., 2012;;table s3;3;;;
774_2 ;rotary;flywheel;granite;saw-cut;;;E_T;1330000;;;critical distance;0.017;;;3.5;;;;;0.38;Chang et al., 2012;;table s3;3;;;
775_1;rotary;flywheel;granite;saw-cut;;;E_T;595000;;;critical distance; ;;;3.5;;;;;0.25;Chang et al., 2012;;table s3;3;;;
775_2;rotary;flywheel;granite;saw-cut;;;E_T;595000;;;critical distance;0.028;;;3.5;;;;;0.25;Chang et al., 2012;;table s3;3;;;
776_1 ;rotary;flywheel;granite;saw-cut;;;E_T;759000;;;critical distance;0.022;;;3.3;;;;;0.29;Chang et al., 2012;;table s3;3;;;
776_2 ;rotary;flywheel;granite;saw-cut;;;E_T;595000;;;critical distance;0.025;;;3.5;;;;;0.25;Chang et al., 2012;;table s3;3;;;
