name;machine;experiment;material;sample;fluid;method;type of energy;value (J/m^2);min (J/m^2);max (J/m^2);type of slip;value (m);min (m);max (m);normal stress (MPa);conf stress (MPa);pore press (MPa);stress drop (MPa);T (°C);peak slip velocity (m/s);Reference;Collection;Notes;Group;;;
1a_99_2;rotary;creep test;granite;saw-cut;99% glycerol;;W_b;12216.36352;;;U_min;0.017490817;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_99_2;rotary;creep test;granite;saw-cut;99% glycerol;;W_b;12986.89664;;;U_min;0.022658737;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_99_2;rotary;creep test;granite;saw-cut;99% glycerol;;W_b;26675.83041;;;U_min;0.05540984;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_99_2;rotary;creep test;granite;saw-cut;99% glycerol;;W_b;19815.85792;;;U_min;0.022601141;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_99_2;rotary;creep test;granite;saw-cut;99% glycerol;;W_b;3317.21088;;;U_min;0.014315191;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_99_2;rotary;creep test;granite;saw-cut;99% glycerol;;W_b;6253.06717;;;U_min;0.016367698;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;1722.402162;;;U_min;0.004604468;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;2759.798555;;;U_min;0.004656508;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;2849.615897;;;U_min;0.00462649;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;645.4194994;;;U_min;0.002187447;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;510.3154253;;;U_min;0.002046665;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;473.8155412;;;U_min;0.00194643;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;1795.212328;;;U_min;0.003829584;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;1621.504604;;;U_min;0.004293469;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;1248.722156;;;U_min;0.003356538;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;2103.335694;;;U_min;0.005251;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;515.6036283;;;U_min;0.002877738;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;2278.192862;;;U_min;0.004189218;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;2882.933366;;;U_min;0.005070877;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;3789.737771;;;U_min;0.005786347;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;6968.349883;;;U_min;0.005270655;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;2954.528961;;;U_min;0.004415197;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;1603.545175;;;U_min;0.003451855;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;1495.793646;;;U_min;0.002717404;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry;rotary;creep test;granite;saw-cut;;;W_b;1195313.677;;;U_min;0.698844354;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;131556.2316;;;U_min;0.116724274;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;17108.56017;;;U_min;0.047824326;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;20723.77681;;;U_min;0.032065296;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;26865.68306;;;U_min;0.040368963;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;23174.81703;;;U_min;0.047501483;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;37750.36894;;;U_min;0.128044289;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;38844.15806;;;U_min;0.085998427;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;35847.72897;;;U_min;0.123233096;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;57330.47133;;;U_min;0.159011534;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;83791.52376;;;U_min;0.175105644;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;16492.81732;;;U_min;0.088324481;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;70333.15036;;;U_min;0.113477333;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;25179.9552;;;U_min;0.100373533;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;39479.46665;;;U_min;0.024031968;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_dry_2;rotary;creep test;granite;saw-cut;;;W_b;124205.1076;;;U_min;0.499960587;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;15128.87304;;;U_min;0.010376505;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;23843.82757;;;U_min;0.048436883;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;1890.118728;;;U_min;0.002882128;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;1165.871263;;;U_min;0.002383554;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;2263.804265;;;U_min;0.002915166;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;1901.668787;;;U_min;0.00313489;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;1957.842836;;;U_min;0.002843832;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;1274.643787;;;U_min;0.002297262;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;4269.857509;;;U_min;0.004899406;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;2346.515344;;;U_min;0.003882917;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;7685.122223;;;U_min;0.005407487;;;;;;;;;Cornelio et al., 2020;;;3;;;
1a_wat;rotary;creep test;granite;saw-cut;water;;W_b;337241.3421;;;U_min;0.566958674;;;;;;;;;Cornelio et al., 2020;;;3;;;
;rotary;trapezoidal;granite;saw-cut;;;G_c;39000;;;D_c;0.02;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;;;G_c;6840;;;D_c;3.04E-03;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;;;G_c;609000;;;D_c;0.9010663;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;;;G_c;6290000;;;D_c;1.8019;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;;;G_c;5010000;;;D_c;1.71905;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;;;G_c;2870000;;;D_c;1.319257331;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;water;;G_c;57700;;;D_c;0.04294;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;water;;G_c;73660;;;D_c;0.0078;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;water;;G_c;284510;;;D_c;0.77279;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;water;;G_c;1690000;;;D_c;1.04723;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;water;;G_c;1550000;;;D_c;1.21111;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;water;;G_c;1330000;;;D_c;1.25371;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;water;;G_c;3710000;;;D_c;1.5968;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;water;;G_c;5030000;;;D_c;3.49612;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;60% glycerol - 40% water;;G_c;24000;;;D_c;0.01;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;60% glycerol - 40% water;;G_c;163000;;;D_c;0.057;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;60% glycerol - 40% water;;G_c;1263000;;;D_c;0.577;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;60% glycerol - 40% water;;G_c;3938000;;;D_c;1.12;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;60% glycerol - 40% water;;G_c;1200000;;;D_c;0.85;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;85% glycerol - 15% water;;G_c;10800;;;D_c;0.018;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;85% glycerol - 15% water;;G_c;154000;;;D_c;0.012;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;85% glycerol - 15% water;;G_c;1836000;;;D_c;0.55;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;85% glycerol - 15% water;;G_c;2800000;;;D_c;1.89;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;85% glycerol - 15% water;;G_c;9250000;;;D_c;1.25;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;85% glycerol - 15% water;;G_c;462000;;;D_c;0.826;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;99% glycerol;;G_c;667000;;;D_c;0.2905;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;99% glycerol;;G_c;416800;;;D_c;0.2595;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;99% glycerol;;G_c;1510000;;;D_c;1.5598;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;rotary;trapezoidal;granite;saw-cut;99% glycerol;;G_c;547000;;;D_c;0.225762391;;;;;;;;;Cornelio et al., 2019;Cornelio et al., 2020;;3;;;
;triaxial;stick slip;granite;saw-cut;;;G;0.205472936;;;D_c;0.0000117;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1.046980056;;;D_c;1.39E-05;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1.695231492;;;D_c;0.000017;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;139.3031279;;;D_c;0.0000573;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;142.45182;;;D_c;0.00004712;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;84.59505806;;;D_c;0.0000477;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;97.58631709;;;D_c;0.0000493;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;111.0082632;;;D_c;0.0000522;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;176.8515462;;;D_c;0.00007322;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;592.1162822;;;D_c;0.0000784;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;171.4050296;;;D_c;0.0000476;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;214.9720213;;;D_c;0.0000746;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;744.3276456;;;D_c;0.000096;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;136.2413637;;;D_c;0.0000809;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1187.954906;;;D_c;0.0001095;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;85.63706432;;;D_c;0.0000863;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;982.6941581;;;D_c;0.000123;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1536.405894;;;D_c;0.0001443;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;939.8496879;;;D_c;0.0001511;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1357.435292;;;D_c;0.000178;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1167.3663;;;D_c;0.000168;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;5576.161048;;;D_c;0.00020582;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;3840.183062;;;D_c;0.0002613;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;4584.124859;;;D_c;0.0002731;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;5550.746055;;;D_c;0.000271;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;7622.09522;;;D_c;0.0002737;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;0.156180966;;;D_c;0.0000134;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;0.399638338;;;D_c;0.0000173;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;2.115687776;;;D_c;0.0000162;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;2.041450262;;;D_c;0.0000121;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;2.830954174;;;D_c;0.0000172;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;5.902216726;;;D_c;0.0000296;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;10.46401368;;;D_c;0.0000306;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;14.13798713;;;D_c;0.0000297;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;44.14549693;;;D_c;0.0000362;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;17.92381573;;;D_c;0.0000337;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;21.48137784;;;D_c;0.0000356;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;23.29274006;;;D_c;0.0000368;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;28.72287527;;;D_c;0.000037;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;22.86528887;;;D_c;0.0000379;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;30.43674107;;;D_c;0.0000358;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;30.70470848;;;D_c;0.0000416;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;33.53021946;;;D_c;0.000044;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;48.62953244;;;D_c;0.0000473;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;379.779746;;;D_c;0.00009286;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;490.0422099;;;D_c;0.0001055;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;419.736913;;;D_c;0.0001168;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;779.2250906;;;D_c;0.0001274;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1302.956026;;;D_c;0.0001358;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1303.893311;;;D_c;0.000144;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1536.898728;;;D_c;0.0001488;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;648.2255899;;;D_c;0.0001657;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1163.904618;;;D_c;0.000173;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;2277.22355;;;D_c;0.0001608;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;2411.87957;;;D_c;0.0002128;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;6057.539173;;;D_c;0.0002288;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;3274.535878;;;D_c;0.0002094;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;3171.1409;;;D_c;0.000237;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;2928.025632;;;D_c;0.000224;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;2528.163303;;;D_c;0.000222;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;3104.581896;;;D_c;0.000214;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;2243.839056;;;D_c;0.000213;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
;triaxial;stick slip;granite;saw-cut;;;G;1895.339134;;;D_c;0.000207;;;;;;;;;Passelegue et al., 2017;Cornelio et al., 2020;fig 12.10;2;;;
GF3;triaxial;shear fracture;gabbro;intact;;;G;;17000;18000;delta_nom;0.00025;;;;250;;;;;Wong, 1986;;table 1;1;;;
GF24;triaxial;shear fracture;gabbro;intact;;;G;;16000;17000;delta_nom;0.00025;;;;277;;;;;Wong, 1986;;table 1;1;;;
GF4;triaxial;shear fracture;gabbro;intact;;;G;;18000;19000;delta_nom;0.0003;;;;305;;;;;Wong, 1986;;table 1;1;;;
GF25;triaxial;shear fracture;gabbro;intact;;;G;;14000;15000;delta_nom;0.00024;;;;325;;;;;Wong, 1986;;table 1;1;;;
GF6;triaxial;shear fracture;gabbro;intact;;;G;;17000;18000;delta_nom;0.00031;;;;350;;;;;Wong, 1986;;table 1;1;;;
GF28;triaxial;shear fracture;gabbro;intact;;;G;;12000;12000;delta_nom;0.00022;;;;396;;;;;Wong, 1986;;table 1;1;;;
GF5;triaxial;shear fracture;gabbro;intact;;;G;;12000;13000;delta_nom;0.00026;;;;400;;;;;Wong, 1986;;table 1;1;;;
GF17*;triaxial;shear fracture;gabbro;intact;;;G;;21000;21000;delta_nom;0.00028;;;;250;;;;;Wong, 1986;;table 1;1;;;
;triaxial;shear fracture;granite;intact;;;G;;4000;5000;delta_nom;0.00021;;;;7.5;;;;;Rummel et al., 1978;Wong, 1986;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;;4000;6000;delta_nom;0.00023;;;;17;;;;;Rummel et al., 1978;Wong, 1986;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;;7000;8000;delta_nom;0.00023;;;;33;;;;;Rummel et al., 1978;Wong, 1986;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;;19000;20000;delta_nom;0.00044;;;;55;;;;;Rummel et al., 1978;Wong, 1986;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;;17000;18000;delta_nom;0.00037;;;;108;;;;;Rummel et al., 1978;Wong, 1986;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;;25000;26000;delta_nom;0.0005;;;;157;;;;;Rummel et al., 1978;Wong, 1986;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;;30000;32000;delta_nom;0.00049;;;;300;;;;;Rummel et al., 1978;Wong, 1986;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;45000;;;deltau_avg;0.00034;;;;470;;130;room;;Rummel et al., 1978;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;47000;;;deltau_avg;0.00044;;;;55;;110;room;;Rummel et al., 1978;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;73000;;;deltau_avg;0.00049;;;;300;;150;room;;Rummel et al., 1978;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;quartzite;intact;;;G;8000;;;deltau_avg;0.00015;;;;14;;50;room;;Spottiswoode, 1980;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;quartzite;intact;;;G;13000;;;deltau_avg;0.00016;;;;28;;80;room;;Spottiswoode, 1980;Wong, 1982;table 2;1;;;
452;triaxial;shear fracture;granite;intact;;;G;10000;;;deltau_avg;0.00017;;;;room;;60;room;;Sano, 1978;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;7000;;;deltau_avg;0.00009;;;;room;;80;room;;Wawersik and Brace, 1971;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;8000;;;deltau_avg;0.0001;;;;room;;80;room;;Wawersik and Brace, 1971;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;6000;;;deltau_avg;0.00006;;;;20;;100;room;;Wawersik and Brace, 1971;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;8000;;;deltau_avg;0.00007;;;;20;;110;room;;Wawersik and Brace, 1971;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;3000;;;deltau_avg;0.00004;;;;80;;80;room;;Wawersik and Brace, 1971;Wong, 1982;table 2;1;;;
;triaxial;shear fracture;granite;intact;;;G;7000;;;deltau_avg;0.00007;;;;80;;100;room;;Wawersik and Brace, 1971;Wong, 1982;table 2;1;;;
